,Time of Day,Subject ID,Group,Pedestrian Locomotion (m),Distance in Cage Locomotion (m),Energy Expenditure (kcal),Total Food (kcal),Total Drink (ml),Oxygen Consumption (ml/hr),Carbon Dioxide Production (ml/hr),rq,Locomotor Activity (beam breaks/hr),Energy Balance (kcal),Average Daily Food Intake (kcal/period),Average Daily Water Intake (kcal/period),Average Daily Energy Expenditure (kcal/period),Average Daily Energy Balance (kcal/period),Average Daily Pedestrain Locomotion (m/period),Average Daily Distance in Cage (m/period),bodymass
1,Full day,1,WT,672.8678729,841.9405366,42.11789307,48.3181,7.847125,95.32163825,78.81682204,0.821023163,364.0072993,6.20020693,9.66362,1.569425,8.437714351,1.225905649,134.5735746,168.3881073,24.89117263
9,Full day,2,KO,390.089575,554.0010284,37.63326299,17.47134667,6.796884,84.70837991,72.07650109,0.846156149,256.4051095,-20.15662135,3.495328328,1.3593768,7.552380575,-4.057052247,78.017915,110.8002057,23.79071372
10,Full day,3,HET,705.238473,958.807892,45.89896124,7.381057755,10.70610049,103.8462495,86.00915087,0.822320098,431.0875912,-38.3440752,1.510977208,2.15052,9.200948364,-7.689971156,141.0476946,191.7615784,26.7590862
11,Full day,4,WT,427.729955,617.682954,37.77196638,57.51510653,4.11149987,84.30698571,74.88492272,0.886870698,284.4051095,19.75485682,11.50536464,0.8308848,7.566740734,3.938623906,85.545991,123.5365908,25.42839423
12,Full day,5,HET,347.7032357,491.2527945,37.36061314,8.62011992,3.687306,83.98089372,71.9597529,0.849651439,225.3686131,-28.74049322,1.724023984,0.7374612,7.491165334,-5.76714135,69.54064715,98.2505589,22.7981196
13,Full day,6,KO,414.111961,600.204828,37.04807795,12.14504965,11.96433956,83.18400898,71.69399065,0.857810609,284.9635036,-23.46189687,2.717236216,2.39524,7.426898406,-4.70966219,82.8223922,120.0409656,24.76357307
14,Full day,7,WT,334.257104,489.158774,36.03127683,53.21928514,4.314665085,80.68898733,70.48173298,0.875171179,253.1058394,17.41368597,10.68899256,0.8639668,7.213075896,3.475916664,66.8514208,97.8317548,24.75246099
15,Full day,8,KO,536.767009,628.693581,32.71581206,14.6226283,3.471782,74.28968306,60.34247142,0.824554185,216.6532847,-17.77566686,2.98802904,0.6943564,6.564745277,-3.576716237,107.3534018,125.7387162,22.1202396
16,Full day,9,HET,465.291744,642.210754,36.3157509,10.13007868,13.90834,81.85371236,69.15796434,0.834053736,344.8430657,-26.12436446,2.038277288,2.781668,7.274045978,-5.23576869,93.0583488,128.4421508,25.70574113
2,Full day,10,WT,417.537937,529.817186,37.20144238,66.92789833,11.82923,82.78852695,74.62701385,0.900991607,207.7153285,30.03973082,13.44823464,2.365846,7.450096447,5.998138193,83.5075874,105.9634372,23.32309069
3,Full day,11,KO,581.54979,696.035722,30.562151,17.01524515,3.4904557,69.09885469,57.44052799,0.829012917,250.6167883,-13.54066248,3.404297704,0.6985988,6.125589665,-2.721291961,116.309958,139.2071444,20.33749416
4,Full day,12,HET,860.524,1035.26042,32.10725258,9.497589539,15.01190987,71.86142737,62.94852164,0.874650553,352.379562,-22.40516322,1.940417872,3.002666,6.428643129,-4.488225257,172.1048,207.052084,23.65327398
5,Full day,13,WT,344.584953,449.516494,37.15921453,55.46291996,9.6656616,83.11189329,73.05520073,0.88078572,170.2627737,18.41996827,11.11583656,1.9486466,7.444141692,3.671694868,68.9169906,89.9032988,26.2168088
6,Full day,14,KO,650.650355,773.991545,34.16992345,11.52122191,5.403054,77.3431117,63.91000345,0.816504154,281.6350365,-22.61353689,2.311277312,1.0806108,6.857604643,-4.546327331,130.130071,154.798309,23.27785803
7,Full day,15,KO,586.909983,753.918997,31.41995622,15.17452485,7.956648,70.38568366,61.37817939,0.856571108,305.350365,-16.10309182,3.06337288,1.5913296,6.307091343,-3.243718463,117.3819966,150.7837994,24.83273467
8,Full day,16,HET,355.266898,533.02657,34.46464724,6.66415624,6.1533064,76.47357988,69.93671974,0.937496209,277.8321168,-27.800491,1.332831248,1.2322494,6.899919179,-5.567087931,71.0533796,106.605314,25.6798169
